project,project_home,project_type,n_samples,study_name,title,experiment,library_strategy
SRP198243,data_sources/sra,data_sources,44,RNA-sequencing of human lymph node and peripheral blood T follicular helper cells,GSM3763251: PLA98_PBMC_3; Homo sapiens; RNA-Seq,GSM3763251: PLA98_PBMC_3; Homo sapiens; RNA-Seq,RNA-Seq
SRP195743,data_sources/sra,data_sources,39,Human Thoracic Duct Lymph Contains Circulatory Intermediates T Follicular Helper Cells [RNA-Seq],GSM3754012: PBMC_ICOSneg (H5) RNAseq; Homo sapiens; RNA-Seq,GSM3754012: PBMC_ICOSneg (H5) RNAseq; Homo sapiens; RNA-Seq,RNA-Seq
SRP201023,data_sources/sra,data_sources,63,mRNA-Seq of PBMCs from patients with HBV-ACLF,mRNA-Seq of PBMCs from patients with chronic hepatitis B,mRNA-Seq of PBMCs from patients with chronic hepatitis B,RNA-Seq
ERP109247,data_sources/sra,data_sources,68,"RNA-Seq of T cells sorted from human PBMCs, or from T cells stimulated with CD3/CD28 beads for 4 days, or from the spleen of NSG or NSG-HLA-A2/HHD mice, 7 days after transplantation with human PBMCs","NextSeq 500 sequencing; RNA-Seq of T cells sorted from human PBMCs, or from T cells stimulated with CD3/CD28 beads for 4 days, or from the spleen of NSG or NSG-HLA-A2/HHD mice, 7 days after transplantation with human PBMCs","NextSeq 500 sequencing; RNA-Seq of T cells sorted from human PBMCs, or from T cells stimulated with CD3/CD28 beads for 4 days, or from the spleen of NSG or NSG-HLA-A2/HHD mice, 7 days after transplantation with human PBMCs",RNA-Seq
SRP212253,data_sources/sra,data_sources,18,Influenza Vaccination Primes Human Myeloid Cell Cytokine Secretion and Natural Killer Cell Function,GSM3910174: PBMC_37.4_Dep; Homo sapiens; RNA-Seq,GSM3910174: PBMC_37.4_Dep; Homo sapiens; RNA-Seq,RNA-Seq
SRP222535,data_sources/sra,data_sources,24,Homo sapiens Raw sequence reads,RNA-seq of PBMCs: LTBI-PPDstimulated,RNA-seq of PBMCs: LTBI-PPDstimulated,RNA-Seq
SRP212077,data_sources/sra,data_sources,54,Longitudinal Blood Transcriptomic Changes Predict Lung Function Decline in patients with Idiopathic Pulmonary Fibrosis,"GSM3905405: Ideopathic pulmonary disease, PBMCs, p213; Homo sapiens; RNA-Seq","GSM3905405: Ideopathic pulmonary disease, PBMCs, p213; Homo sapiens; RNA-Seq",RNA-Seq
SRP149638,data_sources/sra,data_sources,11,Comprehensive RNA-Seq profiling in PBMCs of ALS patients and healthy controls,GSM3172787: healthy donor CTRL7; Homo sapiens; RNA-Seq,GSM3172787: healthy donor CTRL7; Homo sapiens; RNA-Seq,RNA-Seq
SRP168421,data_sources/sra,data_sources,26,SLE PBMC RNA-seq,GSM3466792: healthy_6; Homo sapiens; RNA-Seq,GSM3466792: healthy_6; Homo sapiens; RNA-Seq,RNA-Seq
SRP125125,data_sources/sra,data_sources,127,RNA-Seq profiling of 29 immune cell types and peripheral blood mononuclear cells,GSM2859537: CR3L_PBMC_rep13; Homo sapiens; RNA-Seq,GSM2859537: CR3L_PBMC_rep13; Homo sapiens; RNA-Seq,RNA-Seq
SRP162958,data_sources/sra,data_sources,14,Transcriptome Analysis of PBMCs in peripheral blood of patients with hepatocellular carcinoma,GSM3407987: N3; Homo sapiens; RNA-Seq,GSM3407987: N3; Homo sapiens; RNA-Seq,RNA-Seq
SRP140558,data_sources/sra,data_sources,62,Acute viral bronchiolitis (PBMC),GSM3100385: AVB_122_CV_PBMC; Homo sapiens; RNA-Seq,GSM3100385: AVB_122_CV_PBMC; Homo sapiens; RNA-Seq,RNA-Seq
