dataset_id,source_path,processed_path,n_obs,n_vars,has_umap,umap_status,error
pbmc_atlas_1_combat20_one_sample__data_1,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_1.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_1.h5ad,7362,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_10,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_10.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_10.h5ad,9226,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_11,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_11.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_11.h5ad,1699,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_12,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_12.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_12.h5ad,5973,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_13,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_13.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_13.h5ad,3558,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_14,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_14.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_14.h5ad,5967,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_15,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_15.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_15.h5ad,10439,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_16,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_16.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_16.h5ad,5368,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_17,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_17.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_17.h5ad,7929,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_18,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_18.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_18.h5ad,7260,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_19,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_19.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_19.h5ad,6537,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_2,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_2.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_2.h5ad,3535,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_20,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_20.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_20.h5ad,159,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_3,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_3.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_3.h5ad,10142,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_4,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_4.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_4.h5ad,5299,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_5,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_5.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_5.h5ad,3254,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_6,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_6.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_6.h5ad,5671,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_7,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_7.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_7.h5ad,10278,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_8,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_8.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_8.h5ad,1975,37693,True,existing,
pbmc_atlas_1_combat20_one_sample__data_9,data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_9.h5ad,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_9.h5ad,1121,37693,True,existing,
